mu phi sigma nu
-0.3628 0.9756 0.1117 12
-0.6007 0.9777 0.1105 10
-0.3918 0.9778 0.1099 11
-0.5975 0.9796 0.1096 8
-0.4035 0.9917 0.1124 10
-0.0896 0.9856 0.1147 12
-0.1845 0.9817 0.1123 12
-0.4308 0.9825 0.1116 12
-0.3475 0.9794 0.1126 9
-0.3494 0.9808 0.1109 8
-0.4938 0.9807 0.1060 10
-0.2915 0.9871 0.1056 10
-0.3916 0.9911 0.1040 8
-0.5672 0.9804 0.1047 10
-0.3188 0.9757 0.1099 10
-0.3711 0.9795 0.1113 10
-0.2372 0.9748 0.1100 10
-0.4736 0.9810 0.1099 8
-0.3422 0.9845 0.1127 10
-0.2682 0.9851 0.1065 11
-0.4450 0.9843 0.1059 8
-0.2052 0.9860 0.1069 10
-0.5431 0.9794 0.1090 10
-0.4649 0.9815 0.1095 10
-0.7153 0.9886 0.1066 11
-0.4628 0.9831 0.1083 8
-0.5344 0.9822 0.1103 9
-0.3345 0.9840 0.1079 9
-0.2528 0.9798 0.1082 8
-0.4413 0.9849 0.1066 11
-0.5217 0.9794 0.1091 9
-0.4432 0.9804 0.1084 11
-0.2717 0.9831 0.1093 8
-0.3810 0.9830 0.1088 10
-0.5105 0.9804 0.1085 10
-0.3722 0.9841 0.1090 9
-0.2097 0.9831 0.1091 12
-0.2771 0.9830 0.1080 9
-0.3574 0.9791 0.1096 10
-0.5438 0.9845 0.1079 10
-0.1567 0.9819 0.1094 9
-0.6208 0.9853 0.1086 9
-0.5602 0.9838 0.1106 8
-0.4684 0.9848 0.1069 9
-0.3015 0.9808 0.1080 9
-0.4863 0.9848 0.1115 11
-0.2963 0.9772 0.1108 9
-0.5540 0.9892 0.1120 11
-0.5062 0.9816 0.1107 8
-0.3891 0.9830 0.1138 8
-0.7443 0.9792 0.1125 10
-0.4574 0.9755 0.1113 8
-0.2513 0.9818 0.1112 11
-0.5028 0.9804 0.1118 9
-0.5976 0.9832 0.1143 9
-0.4009 0.9857 0.1115 12
-0.5582 0.9811 0.1081 9
-0.4625 0.9806 0.1047 9
-0.4699 0.9863 0.1063 12
-0.2109 0.9886 0.1075 8
-0.5978 0.9868 0.1081 10
-0.7067 0.9795 0.1052 9
-0.4089 0.9839 0.1074 9
-0.4019 0.9828 0.1115 8
-0.3835 0.9875 0.1105 10
-0.3621 0.9819 0.1105 8
-0.3516 0.9945 0.1156 10
-0.1109 0.9740 0.1169 9
-0.4997 0.9814 0.1131 10
-0.4428 0.9827 0.1135 9
-0.3006 0.9907 0.1138 9
-0.4924 0.9851 0.1094 11
-0.4491 0.9781 0.1091 9
-0.4985 0.9786 0.1096 10
-0.5173 0.9871 0.1104 10
-0.5713 0.9734 0.1113 10
-0.4164 0.9905 0.1126 11
-0.4343 0.9779 0.1143 11
-0.1975 0.9904 0.1181 10
-0.7233 0.9891 0.1150 9
-0.2631 0.9810 0.1155 9
-0.3619 0.9786 0.1140 9
-0.4289 0.9855 0.1126 10
-0.6855 0.9854 0.1138 9
-0.0648 0.9942 0.1109 9
-0.6440 0.9884 0.1024 11
-0.7603 0.9936 0.1055 9
-0.4598 0.9845 0.1063 11
-0.5481 0.9874 0.1047 9
-0.0609 0.9902 0.1060 9
-0.2192 0.9905 0.1027 10
-0.6486 0.9877 0.1065 10
-0.4698 0.9786 0.1084 10
-0.2447 0.9824 0.1056 10
-0.3610 0.9823 0.1078 9
-0.3787 0.9840 0.1121 8
-0.3645 0.9847 0.1108 11
-0.3399 0.9802 0.1105 9
-0.4310 0.9799 0.1095 9
-0.1438 0.9839 0.1097 10
-0.2897 0.9838 0.1136 9
-0.3356 0.9859 0.1120 12
-0.4033 0.9844 0.1129 10
-0.3974 0.9918 0.1149 9
-0.3420 0.9823 0.1164 13
-0.5527 0.9911 0.1192 10
0.0524 0.9958 0.1192 10
-0.6937 0.9769 0.1232 9
-0.4334 0.9814 0.1260 12
-0.3278 0.9826 0.1234 11
-0.2519 0.9829 0.1253 12
-0.3795 0.9798 0.1225 8
-0.2611 0.9847 0.1232 10
-0.3688 0.9808 0.1287 9
-0.4485 0.9678 0.1355 12
-0.5394 0.9763 0.1300 10
-0.3024 0.9818 0.1313 13
-0.1493 0.9832 0.1347 10
-0.2624 0.9716 0.1299 11
-0.3181 0.9753 0.1323 12
-0.5142 0.9723 0.1328 14
-0.3106 0.9766 0.1349 8
-0.2378 0.9770 0.1379 13
-0.6183 0.9707 0.1342 12
-0.2270 0.9794 0.1359 9
-0.5984 0.9711 0.1332 9
-0.5025 0.9786 0.1281 8
-0.3292 0.9831 0.1296 8
-0.3886 0.9663 0.1316 11
-0.3440 0.9694 0.1277 9
-0.6218 0.9785 0.1253 10
-0.4458 0.9782 0.1243 10
-0.1993 0.9803 0.1251 8
-0.2343 0.9808 0.1287 10
-0.5490 0.9726 0.1245 9
-0.4258 0.9733 0.1222 10
-0.4753 0.9760 0.1213 10
-0.3787 0.9730 0.1192 8
-0.2527 0.9795 0.1232 10
-0.5026 0.9766 0.1239 10
-0.1880 0.9802 0.1217 10
-0.5403 0.9804 0.1235 8
-0.3548 0.9739 0.1239 11
-0.3278 0.9756 0.1256 10
-0.4067 0.9822 0.1222 10
-0.2908 0.9793 0.1226 10
-0.3976 0.9822 0.1147 10
-0.0998 0.9836 0.1164 9
-0.2418 0.9918 0.1143 10
-0.1714 0.9751 0.1112 10
-0.2834 0.9827 0.1117 9
-0.3387 0.9822 0.1115 8
-0.4772 0.9834 0.1080 9
-0.1309 0.9866 0.1141 9
-0.1036 0.9877 0.1160 9
-0.4239 0.9829 0.1135 10
-0.3313 0.9864 0.1153 8
-0.3564 0.9837 0.1138 9
-0.3361 0.9827 0.1134 9
-0.4677 0.9842 0.1123 9
-0.3765 0.9875 0.1107 10
-0.4909 0.9911 0.1123 7
-0.3319 0.9784 0.1083 9
-0.5346 0.9814 0.1069 10
-0.5490 0.9809 0.1081 9
-0.4351 0.9775 0.1065 10
-0.2324 0.9837 0.1092 10
-0.3633 0.9779 0.1108 10
-0.2734 0.9840 0.1135 10
-0.5720 0.9825 0.1130 8
-0.4621 0.9803 0.1147 9
-0.5773 0.9789 0.1180 9
-0.3831 0.9753 0.1187 10
-0.2526 0.9851 0.1162 9
-0.2428 0.9785 0.1161 10
-0.4165 0.9736 0.1137 7
-0.4362 0.9815 0.1177 9
-0.2992 0.9796 0.1184 9
-0.5255 0.9828 0.1127 10
-0.2867 0.9765 0.1130 8
-0.2839 0.9787 0.1109 9
-0.3574 0.9820 0.1096 8
-0.5015 0.9759 0.1110 6
-0.6518 0.9844 0.1059 11
-0.5036 0.9842 0.1049 8
-0.3972 0.9866 0.1079 9
-0.1846 0.9836 0.1077 9
-0.2027 0.9777 0.1081 9
-0.4950 0.9749 0.1088 10
-0.5853 0.9766 0.1110 10
-0.6723 0.9859 0.1126 7
-0.2310 0.9786 0.1140 9
-0.5792 0.9707 0.1133 11
-0.4858 0.9757 0.1133 8
-0.6021 0.9778 0.1116 10
-0.3855 0.9893 0.1099 9
-0.6256 0.9820 0.1081 9
-0.4856 0.9816 0.1053 8
-0.5596 0.9847 0.1045 10
-0.5473 0.9849 0.1021 8
-0.1406 0.9848 0.0999 9
-0.5914 0.9879 0.1018 10
-0.5548 0.9837 0.1012 7
-0.3756 0.9861 0.1020 9
-0.5566 0.9834 0.1013 8
-0.4272 0.9795 0.1007 10
-0.3820 0.9835 0.1028 10
-0.6083 0.9822 0.1012 9
-0.5049 0.9876 0.1000 8
-0.2785 0.9894 0.1016 8
-0.3526 0.9795 0.1012 9
-0.5218 0.9853 0.1017 8
-0.3385 0.9812 0.1021 10
-0.5353 0.9804 0.1029 10
-0.3852 0.9852 0.1032 9
-0.4785 0.9815 0.1037 7
-0.5901 0.9766 0.1019 8
-0.4091 0.9814 0.1018 9
-0.3096 0.9828 0.1018 9
-0.4227 0.9879 0.0967 11
-0.5309 0.9878 0.0956 9
-0.7071 0.9797 0.0982 9
-0.2885 0.9868 0.0966 8
-0.2600 0.9827 0.0951 8
-0.3530 0.9794 0.0975 8
-0.3829 0.9762 0.1029 13
-0.4279 0.9839 0.0998 11
-0.3570 0.9868 0.0957 9
-0.6053 0.9858 0.0994 9
-0.1767 0.9894 0.0997 8
-0.1242 0.9890 0.0955 9
-0.8909 0.9921 0.0961 10
-0.5124 0.9766 0.0959 10
-0.4243 0.9809 0.0938 10
-0.2350 0.9851 0.0942 10
-0.5768 0.9904 0.0925 9
-0.1062 0.9876 0.0928 8
-0.3969 0.9847 0.0941 9
-0.3263 0.9917 0.0975 9
-0.7199 0.9915 0.0979 8
-0.0463 0.9872 0.0930 9
-0.0842 0.9920 0.0958 8
0.1226 0.9870 0.0959 9
-0.3796 0.9900 0.0936 8
-0.1968 0.9851 0.0950 10
-0.2996 0.9810 0.0927 9
-0.4250 0.9795 0.0919 11
-0.4262 0.9900 0.0914 9
-0.3467 0.9888 0.0897 9
-0.3240 0.9899 0.0898 8
-0.2279 0.9830 0.0842 9
-0.0594 0.9886 0.0848 9
-0.4986 0.9883 0.0842 10
-0.2560 0.9888 0.0851 9
-0.1952 0.9873 0.0856 8
-0.4657 0.9894 0.0855 11
-0.5255 0.9855 0.0821 8
-0.6192 0.9887 0.0818 10
-0.3022 0.9878 0.0819 9
-0.4977 0.9924 0.0832 10
-0.5728 0.9876 0.0841 10
-0.2884 0.9890 0.0806 10
-0.3924 0.9898 0.0785 7
-0.2032 0.9951 0.0760 11
-0.3996 0.9837 0.0769 8
-0.2788 0.9899 0.0761 9
-0.3928 0.9904 0.0806 11
-0.5385 0.9899 0.0782 9
-0.2372 0.9914 0.0786 11
-0.5707 0.9895 0.0822 9
-0.3051 0.9842 0.0813 8
-0.4259 0.9846 0.0809 8
-0.7458 0.9935 0.0805 8
-0.4143 0.9835 0.0813 10
-0.3419 0.9882 0.0839 9
-0.6489 0.9891 0.0826 9
-0.2455 0.9880 0.0822 10
-0.2639 0.9910 0.0836 8
-0.3324 0.9849 0.0813 10
-0.3136 0.9853 0.0838 9
-0.3365 0.9869 0.0849 9
-0.2794 0.9838 0.0848 8
-0.5251 0.9842 0.0873 8
-0.4275 0.9847 0.0887 10
-0.4541 0.9927 0.0897 10
-0.2407 0.9783 0.0877 9
-0.3404 0.9886 0.0893 8
-0.4015 0.9882 0.0852 11
-0.6425 0.9913 0.0810 9
-0.1358 0.9862 0.0828 10
-0.4212 0.9858 0.0847 9
-0.2084 0.9892 0.0807 9
-0.2077 0.9879 0.0780 9
-0.4418 0.9881 0.0780 10
-0.4545 0.9939 0.0802 9
-0.0649 0.9916 0.0821 10
-0.6219 0.9937 0.0808 11
-0.4139 0.9866 0.0822 10
-0.4715 0.9871 0.0817 11
-0.2813 0.9824 0.0811 9
-0.4403 0.9886 0.0815 9
-0.4377 0.9815 0.0779 9
-0.3600 0.9883 0.0781 8
-0.4724 0.9888 0.0780 10
-0.3411 0.9898 0.0812 10
-0.2812 0.9885 0.0786 7
-0.3416 0.9885 0.0795 9
-0.5787 0.9899 0.0787 9
-0.4921 0.9942 0.0802 10
-0.5076 0.9885 0.0829 8
-0.0634 0.9865 0.0840 10
-0.5165 0.9933 0.0819 9
-0.5160 0.9916 0.0810 9
-0.5232 0.9806 0.0819 9
-0.3633 0.9904 0.0812 10
-0.3978 0.9863 0.0824 10
-0.3486 0.9874 0.0809 11
-0.2638 0.9910 0.0787 11
-0.3854 0.9835 0.0874 10
-0.5113 0.9928 0.0885 10
-0.2563 0.9880 0.0871 9
-0.2090 0.9878 0.0848 11
-0.4110 0.9861 0.0837 7
-0.4748 0.9885 0.0844 9
-0.2223 0.9860 0.0841 9
-0.4120 0.9860 0.0853 9
-0.2683 0.9864 0.0862 9
-0.4256 0.9917 0.0836 11
-0.6987 0.9894 0.0847 10
-0.4289 0.9865 0.0839 8
-0.3452 0.9922 0.0813 11
-0.2826 0.9859 0.0822 8
-0.5884 0.9911 0.0824 9
-0.1113 0.9933 0.0839 11
-0.1522 0.9900 0.0849 10
-0.5320 0.9882 0.0865 10
-0.2539 0.9881 0.0861 10
0.0311 0.9903 0.0867 9
-0.1495 0.9871 0.0875 10
-0.4160 0.9845 0.0880 9
-0.6285 0.9800 0.0915 9
-0.4996 0.9895 0.0933 9
-0.5897 0.9855 0.0934 11
-0.2047 0.9841 0.0925 10
-0.5353 0.9802 0.0943 9
-0.3213 0.9845 0.0915 11
-0.4019 0.9741 0.0912 10
-0.4771 0.9829 0.0926 11
-0.2254 0.9847 0.0903 13
-0.3427 0.9837 0.0907 9
-0.7572 0.9892 0.0875 11
-0.6227 0.9839 0.0882 10
-0.2984 0.9830 0.0892 10
-0.3685 0.9787 0.0873 9
-0.3564 0.9865 0.0862 9
-0.7821 0.9872 0.0880 11
-0.5133 0.9871 0.0886 10
-0.3951 0.9860 0.0908 9
-0.5866 0.9916 0.0904 11
-0.1870 0.9892 0.0897 8
-0.7709 0.9905 0.0869 11
-0.1846 0.9838 0.0897 11
-0.4809 0.9885 0.0881 9
-0.4241 0.9851 0.0914 8
-0.3178 0.9798 0.0924 12
-0.5836 0.9823 0.0945 10
-0.2043 0.9888 0.0952 12
-0.4372 0.9796 0.0938 9
-0.5385 0.9862 0.0960 13
-0.2347 0.9937 0.0955 8
-0.7411 0.9861 0.0953 11
-0.6186 0.9839 0.0931 9
-0.7774 0.9890 0.0935 8
-0.5202 0.9806 0.0922 8
-0.5217 0.9873 0.0931 8
-0.4224 0.9817 0.0914 9
-0.5990 0.9844 0.0904 10
-0.5093 0.9826 0.0896 11
-0.7195 0.9884 0.0903 10
-0.5551 0.9781 0.0910 9
-0.3687 0.9857 0.0935 9
-0.3787 0.9840 0.0947 11
-0.3913 0.9826 0.0984 9
-0.2949 0.9811 0.0970 9
-0.3339 0.9787 0.0969 9
-0.4527 0.9807 0.0974 8
-0.4169 0.9812 0.1003 9
-0.2249 0.9850 0.1021 9
-0.5000 0.9881 0.1002 10
-0.2094 0.9753 0.1039 9
-0.4455 0.9874 0.1011 8
-0.2867 0.9861 0.1044 9
-0.5157 0.9785 0.1064 10
-0.5140 0.9725 0.1055 8
-0.4617 0.9729 0.1042 9
-0.4663 0.9833 0.1007 8
-0.2752 0.9814 0.0985 10
-0.7751 0.9857 0.0971 9
-0.3672 0.9798 0.0984 9
-0.3942 0.9793 0.1006 8
-0.6019 0.9863 0.1003 9
-0.4508 0.9767 0.0990 11
-0.3452 0.9867 0.0982 7
-0.5063 0.9833 0.0989 11
-0.4840 0.9872 0.0993 8
-0.2238 0.9823 0.0998 9
-0.3162 0.9798 0.1030 9
-0.4300 0.9815 0.1016 8
-0.3882 0.9771 0.1004 8
-0.4557 0.9839 0.1020 8
-0.7132 0.9810 0.0981 8
-0.4345 0.9791 0.1036 9
-0.7488 0.9826 0.1045 8
-0.4499 0.9871 0.1002 10
-0.6635 0.9797 0.0996 7
-0.3802 0.9711 0.0997 9
-0.4819 0.9795 0.1002 8
-0.4244 0.9740 0.1005 9
-0.5036 0.9798 0.0984 8
-0.6611 0.9771 0.0998 7
-0.4707 0.9788 0.1028 8
-0.3410 0.9823 0.1007 8
-0.4336 0.9737 0.1043 7
-0.5300 0.9787 0.1065 8
-0.6020 0.9723 0.1041 8
-0.3837 0.9773 0.1010 7
-0.3819 0.9865 0.1039 10
-0.6930 0.9756 0.1023 8
-0.5539 0.9763 0.1003 9
-0.3860 0.9787 0.1045 10
-0.3974 0.9801 0.1054 8
-0.6609 0.9705 0.1032 8
-0.2760 0.9871 0.0980 8
-0.4771 0.9809 0.0976 7
-0.2667 0.9821 0.0996 8
-0.3848 0.9797 0.0987 9
-0.4987 0.9776 0.1029 8
-0.4653 0.9779 0.1015 8
-0.4419 0.9721 0.1038 8
-0.4330 0.9825 0.1063 7
-0.3388 0.9735 0.1038 7
-0.5414 0.9765 0.0983 9
-0.4253 0.9728 0.0990 9
-0.6915 0.9809 0.0962 8
-0.4188 0.9834 0.0947 7
-0.5580 0.9734 0.0974 7
-0.4020 0.9782 0.0968 8
-0.3051 0.9792 0.0993 9
-0.4346 0.9798 0.0998 8
-0.4553 0.9794 0.1012 6
-0.3909 0.9750 0.1018 8
-0.4670 0.9765 0.1044 8
-0.5472 0.9835 0.1069 9
-0.7008 0.9777 0.1053 8
-0.4790 0.9822 0.1066 8
-0.6601 0.9867 0.1073 8
-0.6828 0.9810 0.1094 6
-0.4502 0.9797 0.1106 9
-0.6464 0.9779 0.1081 8
-0.5962 0.9744 0.1150 7
-0.4917 0.9781 0.1131 7
-0.6961 0.9764 0.1133 7
-0.4357 0.9704 0.1114 8
-0.4906 0.9717 0.1125 8
-0.5540 0.9769 0.1114 9
-0.2951 0.9746 0.1094 10
-0.4960 0.9743 0.1125 8
-0.6701 0.9756 0.1129 8
-0.5478 0.9786 0.1135 7
-0.3851 0.9798 0.1130 7
-0.3139 0.9817 0.1112 7
-0.3991 0.9807 0.1133 9
-0.5599 0.9786 0.1128 7
-0.3975 0.9826 0.1123 8
-0.3631 0.9716 0.1110 9
-0.4286 0.9763 0.1127 8
-0.3927 0.9750 0.1067 7
-0.6179 0.9785 0.1054 7
-0.4815 0.9917 0.1041 8
-0.0971 0.9835 0.1013 9
-0.3907 0.9851 0.1001 9
-0.6123 0.9806 0.1016 8
-0.3804 0.9811 0.1071 8
-0.4303 0.9849 0.1052 8
-0.3448 0.9845 0.1057 7
-0.4232 0.9803 0.1056 9
-0.5769 0.9742 0.1066 7
-0.5534 0.9824 0.1032 9
-0.3799 0.9798 0.1055 8
-0.4553 0.9773 0.1066 8
-0.5220 0.9771 0.1031 7
-0.5869 0.9819 0.1073 8
-0.4126 0.9774 0.1035 9
-0.4311 0.9859 0.1067 7
-0.4568 0.9752 0.1076 9
-0.3237 0.9764 0.1095 7
-0.4731 0.9939 0.1101 7
-0.1964 0.9818 0.1136 9
-0.5911 0.9796 0.1138 7
-0.3862 0.9752 0.1102 7
-0.4121 0.9771 0.1113 7
-0.6146 0.9826 0.1094 8
-0.3111 0.9860 0.1061 7
-0.6248 0.9840 0.1061 9
-0.3545 0.9853 0.1050 8
-0.3278 0.9741 0.1058 10
-0.5340 0.9717 0.1057 8
-0.4386 0.9863 0.1087 8
-0.4448 0.9795 0.1100 8
-0.5337 0.9831 0.1103 9
-0.5262 0.9784 0.1144 8
-0.2891 0.9749 0.1122 7
-0.4164 0.9751 0.1132 7
-0.3552 0.9786 0.1196 8
-0.5783 0.9783 0.1202 9
-0.3183 0.9822 0.1215 8
-0.4940 0.9802 0.1191 6
-0.7208 0.9797 0.1170 9
-0.1396 0.9813 0.1179 8
-0.4330 0.9714 0.1179 9
-0.3323 0.9824 0.1233 9
-0.4685 0.9839 0.1244 7
-0.5627 0.9636 0.1226 8
-0.4079 0.9744 0.1171 7
-0.5112 0.9775 0.1166 8
-0.4109 0.9702 0.1137 8
-0.5409 0.9860 0.1157 7
-0.2227 0.9866 0.1142 8
-0.3236 0.9835 0.1146 8
-0.2966 0.9860 0.1161 8
-0.3305 0.9792 0.1139 7
-0.3725 0.9775 0.1167 7
-0.5580 0.9790 0.1128 8
-0.4785 0.9861 0.1140 9
-0.6670 0.9826 0.1109 8
-0.3379 0.9810 0.1136 9
-0.3877 0.9748 0.1118 8
-0.5745 0.9804 0.1099 8
-0.4346 0.9728 0.1097 7
-0.4525 0.9817 0.1114 10
-0.6028 0.9843 0.1082 7
-0.3918 0.9714 0.1058 7
-0.3233 0.9824 0.1050 7
-0.4773 0.9751 0.1063 9
-0.4818 0.9875 0.1056 7
-0.6034 0.9803 0.1069 8
-0.4781 0.9819 0.1074 7
-0.4743 0.9833 0.1052 9
-0.3002 0.9766 0.1080 7
-0.5082 0.9779 0.1100 8
-0.3882 0.9759 0.1080 9
-0.4719 0.9836 0.1106 8
-0.4758 0.9802 0.1065 8
-0.3635 0.9796 0.1053 7
-0.4982 0.9778 0.1053 8
-0.5809 0.9802 0.1062 7
-0.4711 0.9834 0.1081 9
-0.2841 0.9859 0.1070 8
-0.4744 0.9770 0.1083 7
-0.5099 0.9842 0.1083 7
-0.1656 0.9904 0.1064 7
-0.0195 0.9817 0.1065 8
-0.3958 0.9817 0.1069 8
-0.3940 0.9786 0.1061 8
-0.5270 0.9841 0.1027 7
-0.4123 0.9740 0.1039 8
-0.3439 0.9818 0.1036 8
-0.3112 0.9783 0.1020 8
-0.5486 0.9831 0.1009 8
-0.5668 0.9857 0.1015 8
-0.4666 0.9815 0.0999 8
-0.6306 0.9870 0.0980 9
-0.7069 0.9919 0.0996 7
-0.8139 0.9926 0.0965 7
-0.0366 0.9937 0.1003 8
0.1885 0.9940 0.0972 9
-0.4541 0.9842 0.0986 9
-0.3417 0.9874 0.0981 8
-0.6435 0.9884 0.1006 9
-0.0893 0.9859 0.0996 11
-0.4895 0.9838 0.0980 7
-0.6412 0.9840 0.0987 8
-0.2372 0.9829 0.1002 9
-0.5160 0.9853 0.0984 9
-0.2390 0.9833 0.0971 9
-0.3812 0.9771 0.0965 11
-0.2702 0.9882 0.0962 8
-0.2363 0.9878 0.0933 7
-0.2117 0.9886 0.0958 8
-0.3932 0.9890 0.0952 8
-0.3856 0.9818 0.0961 9
-0.1473 0.9907 0.0969 8
-0.1266 0.9884 0.0977 11
-0.3098 0.9769 0.0972 10
-0.4551 0.9920 0.0962 7
-0.2664 0.9816 0.0973 9
-0.4141 0.9831 0.0956 8
-0.4642 0.9845 0.1017 9
-0.4658 0.9894 0.0982 9
-0.3426 0.9882 0.0942 9
-0.0546 0.9937 0.0910 9
-0.2427 0.9911 0.0890 7
-0.2809 0.9902 0.0888 9
-0.3363 0.9833 0.0934 8
-0.5614 0.9843 0.0943 8
-0.2520 0.9885 0.0908 8
-0.5269 0.9833 0.0926 8
-0.6096 0.9844 0.0941 9
-0.4993 0.9891 0.0900 7
0.0149 0.9937 0.0919 8
-0.3255 0.9880 0.0929 8
-0.1363 0.9875 0.0908 10
-0.3327 0.9840 0.0911 8
-0.5283 0.9822 0.0945 9
-0.4222 0.9832 0.0992 9
-0.5136 0.9903 0.1011 9
-0.2744 0.9863 0.1015 9
-0.5406 0.9808 0.1011 9
-0.5390 0.9755 0.1043 9
-0.4667 0.9834 0.1046 10
-0.4306 0.9746 0.1056 8
-0.3913 0.9723 0.1051 9
-0.4602 0.9724 0.1054 10
-0.3563 0.9822 0.1012 12
-0.4228 0.9800 0.0966 9
-0.3038 0.9876 0.0985 10
-0.3428 0.9889 0.0993 9
-0.5253 0.9922 0.0986 9
-0.1847 0.9870 0.0966 8
-0.3420 0.9870 0.0982 7
-0.8438 0.9886 0.0993 9
-0.6142 0.9838 0.1004 8
-0.4010 0.9811 0.0983 9
-0.4138 0.9830 0.0982 8
-0.3634 0.9799 0.0994 8
-0.4263 0.9812 0.0938 9
-0.4795 0.9880 0.0947 8
-0.5166 0.9850 0.0935 9
-0.6025 0.9850 0.0951 7
-0.0940 0.9834 0.0946 7
-0.4733 0.9741 0.0955 7
-0.4376 0.9862 0.0943 8
-0.3601 0.9942 0.0944 9
0.1569 0.9893 0.0947 10
-0.5482 0.9802 0.0973 8
-0.3902 0.9827 0.0985 10
-0.2337 0.9805 0.0973 8
-0.4654 0.9786 0.0969 10
-0.2585 0.9881 0.1005 9
-0.2185 0.9868 0.0970 8
-0.2334 0.9807 0.1002 7
-0.5853 0.9823 0.1000 9
-0.3839 0.9864 0.0970 8
-0.4114 0.9873 0.0945 8
-0.5990 0.9793 0.0989 10
-0.4615 0.9843 0.0989 7
-0.4883 0.9824 0.0962 8
-0.2520 0.9867 0.0938 7
-0.4496 0.9860 0.0928 11
-0.6182 0.9818 0.0944 8
-0.5461 0.9877 0.0997 8
-0.4781 0.9770 0.0948 7
-0.4983 0.9808 0.0945 9
-0.6307 0.9821 0.0980 7
-0.5464 0.9819 0.0971 9
-0.3518 0.9847 0.0988 8
-0.3734 0.9796 0.1017 8
-0.5261 0.9884 0.0989 8
-0.2356 0.9825 0.0992 7
-0.6815 0.9856 0.0991 8
-0.4212 0.9805 0.1024 7
-0.5813 0.9888 0.0994 9
-0.4147 0.9847 0.1015 8
-0.1193 0.9859 0.0999 7
-0.5854 0.9779 0.1019 8
-0.3576 0.9860 0.1022 8
-0.4482 0.9719 0.1021 11
-0.5010 0.9756 0.0968 8
-0.4759 0.9795 0.0958 7
-0.3534 0.9852 0.0935 10
-0.2336 0.9862 0.0977 8
-0.6707 0.9839 0.1008 10
-0.3577 0.9724 0.0973 8
-0.3866 0.9750 0.0962 11
-0.5147 0.9850 0.0940 8
-0.4391 0.9848 0.0946 8
-0.3342 0.9804 0.0967 9
-0.4141 0.9797 0.1005 8
-0.2938 0.9812 0.0985 8
-0.3226 0.9800 0.0969 9
-0.4186 0.9902 0.1032 8
-0.1019 0.9885 0.1029 8
-0.9053 0.9885 0.1035 10
-0.3496 0.9785 0.1027 9
-0.2946 0.9798 0.1052 11
-0.7200 0.9826 0.1046 9
-0.4846 0.9743 0.1025 9
-0.4339 0.9774 0.1058 9
-0.4944 0.9856 0.1057 9
-0.5619 0.9863 0.1057 7
-0.1499 0.9847 0.1060 8
-0.5442 0.9801 0.1073 8
-0.4446 0.9783 0.1065 10
-0.4551 0.9894 0.1037 9
-0.4710 0.9762 0.1100 10
-0.3100 0.9799 0.1131 9
-0.3300 0.9782 0.1158 9
-0.4675 0.9761 0.1170 8
-0.2115 0.9822 0.1122 10
-0.3347 0.9765 0.1084 11
-0.3126 0.9790 0.1092 8
-0.3320 0.9768 0.1126 8
-0.5148 0.9840 0.1176 10
-0.0802 0.9793 0.1193 8
-0.4629 0.9740 0.1175 10
-0.4483 0.9716 0.1139 8
-0.3441 0.9808 0.1172 7
-0.6065 0.9761 0.1188 8
-0.4395 0.9767 0.1196 11
-0.2666 0.9713 0.1208 7
-0.5188 0.9767 0.1202 9
-0.4379 0.9802 0.1234 8
-0.4337 0.9749 0.1221 9
-0.6174 0.9688 0.1177 9
-0.2710 0.9749 0.1166 9
-0.4502 0.9774 0.1153 8
-0.5066 0.9775 0.1143 9
-0.5778 0.9848 0.1094 9
-0.6109 0.9831 0.1069 8
-0.6606 0.9853 0.1044 10
-0.6677 0.9820 0.1041 9
-0.5548 0.9880 0.1046 12
-0.4605 0.9752 0.1061 9
-0.4566 0.9704 0.1066 9
-0.5108 0.9836 0.1029 11
-0.3546 0.9750 0.1063 9
-0.4295 0.9792 0.1049 9
-0.4646 0.9828 0.1058 8
-0.1917 0.9902 0.1054 8
0.0819 0.9909 0.1016 9
-0.2437 0.9860 0.1050 8
-0.5903 0.9868 0.0985 10
-0.1816 0.9811 0.1009 9
-0.3064 0.9829 0.0968 10
-0.4540 0.9856 0.0997 9
-0.3374 0.9801 0.0990 8
-0.2882 0.9859 0.0961 12
-0.6948 0.9820 0.0961 9
-0.6183 0.9783 0.0997 8
-0.3113 0.9800 0.0995 9
-0.4899 0.9783 0.1004 11
-0.4792 0.9814 0.1028 10
-0.4048 0.9817 0.1034 8
-0.2231 0.9860 0.0983 10
-0.3090 0.9842 0.1011 10
-0.6186 0.9847 0.1024 11
-0.4133 0.9852 0.1017 8
-0.5369 0.9763 0.1008 9
-0.4776 0.9807 0.1033 9
-0.2457 0.9874 0.0991 9
-0.4424 0.9711 0.0989 11
-0.3521 0.9825 0.0974 8
-0.4683 0.9823 0.0967 11
-0.4766 0.9819 0.1012 10
-0.5060 0.9788 0.1009 10
-0.4205 0.9802 0.1023 11
-0.3996 0.9830 0.0976 8
-0.3992 0.9855 0.0972 9
-0.2093 0.9876 0.0997 9
-0.5271 0.9844 0.1012 9
-0.5175 0.9770 0.0983 9
-0.3392 0.9838 0.0953 12
-0.3982 0.9850 0.0919 8
-0.5811 0.9847 0.0927 10
-0.4411 0.9837 0.0936 10
-0.2011 0.9882 0.0938 10
-0.4904 0.9788 0.0898 9
